School Name,School Name [Public School] 2010-11,School ID - NCES Assigned [Public School] 2010-11,Agency Name [Public School] 2010-11,Agency ID - NCES Assigned [Public School] 2010-11,County Name [Public School] 2010-11,County Number [Public School] 2010-11,Location Address [Public School] 2010-11,Location City [Public School] 2010-11,Location State Abbr [Public School] 2010-11,Location ZIP [Public School] 2010-11,Location ZIP4 [Public School] 2010-11,Phone Number [Public School] 2010-11,School Type [Public School] 2010-11,Agency Type [District] 2010-11,Operational Status [Public School] 2010-11,Charter School [Public School] 2010-11,Latitude [Public School] 2010-11,Longitude [Public School] 2010-11,State School ID [Public School] 2010-11,State Agency ID [Public School] 2010-11
"A CHESTER REDSHAW, NJ",A CHESTER REDSHAW,341122000000,NEW BRUNSWICK,3411220,MIDDLESEX COUNTY,34023,40 VAN DYKE AVE,NEW BRUNSWICK,NJ,8901,2930,7327455300,1-Regular school,1-Local school district,1-Currently operational,2-No,40.481174,-74.470253,60,233530
"A D OLIVER MIDDLE SCHOOL, NY",A D OLIVER MIDDLE SCHOOL,360558000000,BROCKPORT CENTRAL SCHOOL DISTRICT,3605580,MONROE COUNTY,36055,40 ALLEN ST,BROCKPORT,NY,14420,2296,5856371860,1-Regular school,1-Local school district,1-Currently operational,2-No,43.208228,-77.945557,261801000000,261801000000
"A E  BURLING ELEM SCH, NJ",A E  BURLING ELEM SCH,341287000000,PENNSAUKEN TOWNSHIP,3412870,CAMDEN COUNTY,34007,3600 HARRIS AVE,PENNSAUKEN,NJ,8105,,_,1-Regular school,1-Local school district,1-Currently operational,2-No,39.937541,-75.081424,104,74060
"A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MID, NY",A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MID,360273000000,WINDSOR CENTRAL SCHOOL DISTRICT,3602730,BROOME COUNTY,36007,213 MAIN ST,WINDSOR,NY,13865,4134,6076558227,1-Regular school,1-Local school district,1-Currently operational,2-No,42.083222,-75.640953,31701060004,31701060000
"A HAMILTON PREPARATORY ACADEMY, NJ",A HAMILTON PREPARATORY ACADEMY,340459000000,ELIZABETH,3404590,UNION COUNTY,34039,310 CHERRY ST,ELIZABETH,NJ,7208,,9084366100,1-Regular school,1-Local school district,1-Currently operational,2-No,40.667914,-74.221393,405,391320
"A J SCHMIDT ELEMENTARY SCHOOL, NY",A J SCHMIDT ELEMENTARY SCHOOL,361656000000,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),3616560,ERIE COUNTY,36029,9455 LAKE SHORE RD,ANGOLA,NY,14006,9400,7169262351,1-Regular school,1-Local school district,1-Currently operational,2-No,42.627578,-79.088907,141401000000,141401000000
"A M COSGROVE MIDDLE SCHOOL, NY",A M COSGROVE MIDDLE SCHOOL,362778000000,SPENCERPORT CENTRAL SCHOOL DISTRICT,3627780,MONROE COUNTY,36055,2749 SPENCERPORT RD,SPENCERPORT,NY,14559,1991,5853495302,1-Regular school,1-Local school district,1-Currently operational,2-No,43.188362,-77.787734,261001000000,261001000000
"A MACARTHUR BARR MIDDLE SCHOOL, NY",A MACARTHUR BARR MIDDLE SCHOOL,362019000000,NANUET UNION FREE SCHOOL DISTRICT,3620190,ROCKLAND COUNTY,36087,143 CHURCH ST,NANUET,NY,10954,3089,8456274044,1-Regular school,1-Local school district,1-Currently operational,2-No,41.089867,-74.002524,500108000000,500108000000
"A PHILIP RANDOLPH CAMPUS HIGH SCHOOL, NY",A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,3600083,NEW YORK COUNTY,36061,433 WEST 135TH ST,NEW YORK,NY,10031,,2129260113,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.818308,-73.950511,310600000000,310600000000
"A. BALDWIN MIDDLE SCHOOL, CT",A. BALDWIN MIDDLE SCHOOL,90180000328,GUILFORD SCHOOL DISTRICT,901800,NEW HAVEN COUNTY,9009,68 BULLARD DR,GUILFORD,CT,6437,1553,2034570222,1-Regular school,1-Local school district,1-Currently operational,2-No,41.338773,-72.719403,7,60
"A. I. PRINCE TECHNICAL HIGH SCHOOL, CT",A. I. PRINCE TECHNICAL HIGH SCHOOL,90000201136,CONNECTICUT TECHNICAL HIGH SC,900002,HARTFORD COUNTY,9003,500 BROOKFIELD ST,HARTFORD,CT,6106,3709,8609517112,3-Vocational school,5-State-operated institution,1-Currently operational,2-No,41.74203,-72.707779,15,900
"A. W. COX SCHOOL, CT",A. W. COX SCHOOL,90180000329,GUILFORD SCHOOL DISTRICT,901800,NEW HAVEN COUNTY,9009,143 THREE MILE COURSE,GUILFORD,CT,6437,2522,2034535291,1-Regular school,1-Local school district,1-Currently operational,2-No,41.28567,-72.695266,6,60
"A. WARD SPAULDING SCHOOL, CT",A. WARD SPAULDING SCHOOL,90447000903,SUFFIELD SCHOOL DISTRICT,904470,HARTFORD COUNTY,9003,945 MOUNTAIN RD,SUFFIELD,CT,6078,2014,8606683826,1-Regular school,1-Local school district,1-Currently operational,2-No,41.990591,-72.698888,4,139
"A.R.T.S. ACADEMY, CT",A.R.T.S. ACADEMY,90474001362,WALLINGFORD SCHOOL DISTRICT,904740,NEW HAVEN COUNTY,9009,75 PARKER ST,WALLINGFORD,CT,6492,,2032946290,4-Alternative/other school,1-Local school district,1-Currently operational,2-No,41.463626,-72.823377,90,148
"AARON DECKER, NJ",AARON DECKER,340252000000,BUTLER,3402520,MORRIS COUNTY,34027,98 DECKER RD,BUTLER,NJ,7405,,9734922037,1-Regular school,1-Local school district,1-Currently operational,2-No,41.006635,-74.35579,25,270630
"ABBEY LANE SCHOOL, NY",ABBEY LANE SCHOOL,361716000000,LEVITTOWN UNION FREE SCHOOL DISTRICT,3617160,NASSAU COUNTY,36059,239 GARDINERS AVE,LEVITTOWN,NY,11756,3750,5165208495,1-Regular school,1-Local school district,1-Currently operational,2-No,40.719454,-73.515721,280205000000,280205000000
"ABBOTT SCHOOL, NY",ABBOTT SCHOOL,360230000000,ABBOTT UNION FREE SCHOOL DISTRICT,3602300,WESTCHESTER COUNTY,36119,100 NORTH BROADWAY,IRVINGTON,NY,10533,1254,9145917151,2-Special education school,1-Local school district,1-Currently operational,2-No,41.044734,-73.862551,660413000000,660413000000
"ABINGTON AVE, NJ",ABINGTON AVE,341134000000,NEWARK,3411340,ESSEX COUNTY,34013,209 ABINGTON AVE,NEWARK,NJ,7107,2507,9732685230,1-Regular school,1-Local school district,1-Currently operational,2-No,40.770022,-74.181136,170,133570
"ABRAHAM CLARK HIGH, NJ",ABRAHAM CLARK HIGH,341428000000,ROSELLE BOROUGH,3414280,UNION COUNTY,34039,122 EAST 6TH AVE,ROSELLE,NJ,7203,2026,9082982004,1-Regular school,1-Local school district,1-Currently operational,2-No,40.653845,-74.26208,10,394540
"ABRAHAM LINCOLN, NJ",ABRAHAM LINCOLN,341836000000,WYCKOFF TOWNSHIP,3418360,BERGEN COUNTY,34003,325 MASON AVE,WYCKOFF,NJ,7481,2822,2018485720,1-Regular school,1-Local school district,1-Currently operational,2-No,41.014407,-74.159987,10,35920
"ABRAHAM LINCOLN ELEMENTARY SCHOOL, NY",ABRAHAM LINCOLN ELEMENTARY SCHOOL,361563000000,JAMESTOWN CITY SCHOOL DISTRICT,3615630,CHAUTAUQUA COUNTY,36013,301 FRONT ST,JAMESTOWN,NY,14701,6286,7164834412,1-Regular school,1-Local school district,1-Currently operational,2-No,42.092438,-79.252797,61700010011,61700010000
"ABRAHAM LINCOLN HIGH SCHOOL, NY",ABRAHAM LINCOLN HIGH SCHOOL,360015000000,NEW YORK CITY GEOGRAPHIC DISTRICT #21,3600152,KINGS COUNTY,36047,2800 OCEAN PKY,BROOKLYN,NY,11235,7962,7183337400,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.581578,-73.967674,332100000000,332100000000
"ABRAHAM PIERSON SCHOOL, CT",ABRAHAM PIERSON SCHOOL,90081000131,CLINTON SCHOOL DISTRICT,900810,MIDDLESEX COUNTY,9007,75 EAST MAIN ST,CLINTON,CT,6413,2036,8606646502,1-Regular school,1-Local school district,1-Currently operational,2-No,41.27747,-72.521362,1,27
"ABRAHAM WING SCHOOL, NY",ABRAHAM WING SCHOOL,360231000000,GLENS FALLS COMMON SCHOOL DISTRICT,3602310,WARREN COUNTY,36113,120 LAWRENCE ST,GLENS FALLS,NY,12801,3758,5187923231,1-Regular school,1-Local school district,1-Currently operational,2-No,43.314071,-73.63239,630918000000,630918000000
"ABRAM LANSING SCHOOL, NY",ABRAM LANSING SCHOOL,360798000000,COHOES CITY SCHOOL DISTRICT,3607980,ALBANY COUNTY,36001,26 JAMES ST,COHOES,NY,12047,3299,5182375044,1-Regular school,1-Local school district,1-Currently operational,2-No,42.768722,-73.708098,10500010005,10500010000
"ABRAM P MORRIS  SAYBROOK, NJ",ABRAM P MORRIS  SAYBROOK,340729000000,HILLSIDE TOWNSHIP,3407290,UNION COUNTY,34039,143 COE AVE,HILLSIDE,NJ,7205,2830,9083527644,1-Regular school,1-Local school district,1-Currently operational,2-No,40.690995,-74.220841,90,392190
"ABSEGAMI H S, NJ",ABSEGAMI H S,340606000000,GREATER EGG HARBOR REGION,3406060,ATLANTIC COUNTY,34001,201 SOUTH WRANGLEBORO RD,GALLOWAY,NJ,8205,,6096521372,1-Regular school,1-Local school district,1-Currently operational,2-No,39.478074,-74.512102,40,11790
"ACAD ALLIED HEALTH & SCI, NJ",ACAD ALLIED HEALTH & SCI,341750000000,MONMOUTH COUNTY VOCATIONA,3417500,MONMOUTH COUNTY,34025,2325 HECK AVE,NEPTUNE,NJ,7753,4432,7327750058,3-Vocational school,1-Local school district,1-Currently operational,2-No,40.213818,-74.037986,25,253260
"ACAD FOR ALLIED HLTH SCI, NJ",ACAD FOR ALLIED HLTH SCI,341804000000,UNION COUNTY VOCATIONAL S,3418040,UNION COUNTY,34039,1776 RARITAN RD,SCOTCH PLAINS,NJ,7076,,9088896831,3-Vocational school,1-Local school district,1-Currently operational,2-No,40.618712,-74.359034,20,395260
"ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLL, NY",ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLL,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,KINGS COUNTY,36047,911 FLATBUSH AVE,BROOKLYN,NY,11226,,7185642566,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.649542,-73.958418,331700000000,331700000000
"ACADEMIC EXTENSION CENTER, CT",ACADEMIC EXTENSION CENTER,90267001568,NEW BRITAIN SCHOOL DISTRICT,902670,HARTFORD COUNTY,9003,183 STEELE ST,NEW BRITAIN,CT,6052,,8602356395,2-Special education school,1-Local school district,1-Currently operational,2-No,41.658625,-72.806037,92,89
"ACADEMIC LEADERSHIP CHARTER SCHOOL, NY",ACADEMIC LEADERSHIP CHARTER SCHOOL,360100000000,ACADEMIC LEADERSHIP CHARTER SCHOOL,3601001,BRONX COUNTY,36005,677 EAST 141ST ST,BRONX,NY,10454,,7185854215,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.807395,-73.912728,320701000000,320701000000
"ACADEMY CHARTER HIGH SCHOOL, NJ",ACADEMY CHARTER HIGH SCHOOL,340005000000,ACADEMY CHARTER H S,3400048,MONMOUTH COUNTY,34025,1725 MAIN ST,LAKE COMO,NJ,7719,,7326818377,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.171489,-74.027408,910,806010
"ACADEMY CHARTER SCHOOL, NY",ACADEMY CHARTER SCHOOL,360100000000,ACADEMY CHARTER SCHOOL,3600997,NASSAU COUNTY,36059,94 FULTON AVE,HEMPSTEAD,NY,11550,,5164082200,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,40.706025,-73.633731,280202000000,280202000000
"ACADEMY FOR CAREERS IN TELEVISION AND FILM, NY",ACADEMY FOR CAREERS IN TELEVISION AND FILM,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,QUEENS COUNTY,36081,3641 28TH ST,LONG ISLAND CITY,NY,11106,,7184720536,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.75708,-73.932613,343000000000,343000000000
"ACADEMY FOR CONSERVATION AND THE ENVIRONMENT, NY",ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #18,3600096,KINGS COUNTY,36047,6565 FLATLANDS AVE,BROOKLYN,NY,11236,,7189684101,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.632705,-73.917836,331800000000,331800000000
"ACADEMY FOR ENVIRONMENTAL LEADERSHIP, NY",ACADEMY FOR ENVIRONMENTAL LEADERSHIP,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #32,3600097,KINGS COUNTY,36047,400 IRVING AVE,BROOKLYN,NY,11237,,7183817100,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.696957,-73.910865,333200000000,333200000000
"ACADEMY FOR HEALTH CAREERS, NY",ACADEMY FOR HEALTH CAREERS,360012000000,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,KINGS COUNTY,36047,145 PENNSYLVANIA AVE,BROOKLYN,NY,11207,,7189354210,1-Regular school,2-Local school district component of supervisory union,3-New school,2-No,40.674279,-73.896414,331900000000,331900000000
"ACADEMY FOR INFO TECH, NJ",ACADEMY FOR INFO TECH,341804000000,UNION COUNTY VOCATIONAL S,3418040,UNION COUNTY,34039,1776 RARITAN RD,SCOTCH PLAINS,NJ,7076,,9088898288,3-Vocational school,1-Local school district,1-Currently operational,2-No,40.618712,-74.359034,30,395260
"ACADEMY FOR LANGUAGE AND TECHNOLOGY, NY",ACADEMY FOR LANGUAGE AND TECHNOLOGY,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,3600086,BRONX COUNTY,36005,1700 MACOMBS RD,BRONX,NY,10453,,7187310219,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.849021,-73.916054,320900000000,320900000000
"ACADEMY FOR NEW AMERICANS, NY",ACADEMY FOR NEW AMERICANS,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,QUEENS COUNTY,36081,3014 30TH ST,ASTORIA,NY,11102,,7189325876,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.766918,-73.922516,343000000000,343000000000
"ACADEMY FOR PERFORM ARTS, NJ",ACADEMY FOR PERFORM ARTS,341804000000,UNION COUNTY VOCATIONAL S,3418040,UNION COUNTY,34039,1776 RARITAN RD,SCOTCH PLAINS,NJ,7076,,9088898288,3-Vocational school,1-Local school district,1-Currently operational,2-No,40.618712,-74.359034,35,395260
"ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP, NY",ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #11,3600088,BRONX COUNTY,36005,921 EAST 228TH ST,BRONX,NY,10466,,7186963840,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.887938,-73.85288,321100000000,321100000000
"ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL, NY",ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,3600081,NEW YORK COUNTY,36061,509 WEST 129TH ST,NEW YORK,NY,10027,,2122343102,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.815232,-73.955128,310500000000,310500000000
"ACADEMY FOR URBAN LEADERSHIP CS, NJ",ACADEMY FOR URBAN LEADERSHIP CS,340074000000,ACADEMY FOR URBAN LEADERSHIP CS,3400741,MIDDLESEX COUNTY,34023,55 COMMERICAL AVE,NEW BRUNSWICK,NJ,8901,,7329324727,1-Regular school,7-Charter school agency,3-New school,1-Yes,40.488259,-74.439302,901,806032
"ACADEMY FOR YOUNG WRITERS, NY",ACADEMY FOR YOUNG WRITERS,360012000000,NEW YORK CITY GEOGRAPHIC DISTRICT #14,3600119,KINGS COUNTY,36047,183 SOUTH 3RD ST,BROOKLYN,NY,11211,,7183881194,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.711748,-73.960251,331400000000,331400000000
"ACADEMY HIGH SCH, NJ",ACADEMY HIGH SCH,341269000000,PATERSON,3412690,PASSAIC COUNTY,34031,35 CHURCH ST,PATERSON,NJ,7505,,9733210761,1-Regular school,1-Local school district,1-Currently operational,2-No,40.917418,-74.170446,25,314010
"ACADEMY HIGH SCHOOL, NJ",ACADEMY HIGH SCHOOL,348036000000,PASSAIC COUNTY EDUCATIONA,3480364,PASSAIC COUNTY,34031,1037 ROUTE 46 EAST,CLIFTON,NJ,7013,,9736845869,1-Regular school,1-Local school district,1-Currently operational,2-No,40.871286,-74.179365,50,313975
"ACADEMY LEARNING CENTER, NJ",ACADEMY LEARNING CENTER,348018000000,MIDDLESEX COUNTY EDUCATIO,3480180,MIDDLESEX COUNTY,34023,145 PERGOLA AVE,MONROE TOWNSHIP,NJ,8831,,7326059100,2-Special education school,1-Local school district,1-Currently operational,2-No,40.35395,-74.411059,30,233145
"ACADEMY OF AMERICAN STUDIES, NY",ACADEMY OF AMERICAN STUDIES,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,QUEENS COUNTY,36081,2801 41ST AVE,LONG ISLAND CITY,NY,11101,,7183618786,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.75143,-73.937547,343000000000,343000000000
"ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY, NY",ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX COUNTY,36005,345 BROOK AVE,BRONX,NY,10454,,7182923883,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.81006,-73.917853,320700000000,320700000000
"ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT, NY",ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #13,3600091,KINGS COUNTY,36047,141 MACON ST,BROOKLYN,NY,11216,,7187834842,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.681603,-73.9456,331300000000,331300000000
"ACADEMY OF COLLABORATIVE EDUCATION, NY",ACADEMY OF COLLABORATIVE EDUCATION,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 5,3600081,NEW YORK COUNTY,36061,222 WEST 134TH ST,MANHATTAN,NY,10030,,2126948750,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.814896,-73.944949,310500000000,310500000000
"ACADEMY OF DOVER CHARTER SCHOOL, DE",ACADEMY OF DOVER CHARTER SCHOOL,100002000000,ACADEMY OF DOVER CHARTER SCHOOL,1000017,KENT COUNTY,10001,104 SAULSBURY RD,DOVER,DE,19904,,3026740684,1-Regular school,7-Charter school agency,1-Currently operational,1-Yes,39.161902,-75.543816,584,85
"ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL, NY",ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY SCHOOL,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 4,3600079,NEW YORK COUNTY,36061,410 EAST 100TH STBLDG 99,NEW YORK,NY,10029,6604,2128605854,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.78547,-73.942071,310400000000,310400000000
"ACADEMY OF FINANCE AND ENTERPRISE, NY",ACADEMY OF FINANCE AND ENTERPRISE,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #24,3600098,QUEENS COUNTY,36081,3020 THOMSON AVE,LONG ISLAND CITY,NY,11101,,7183893623,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.745077,-73.936585,342400000000,342400000000
"ACADEMY OF HOSPITALITY AND TOURISM, NY",ACADEMY OF HOSPITALITY AND TOURISM,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #17,3600095,KINGS COUNTY,36047,911 FLATBUSH AVE,BROOKLYN,NY,11226,,7185642580,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.649542,-73.958418,331700000000,331700000000
"ACADEMY OF INNOVATIVE TECHNOLOGY, NY",ACADEMY OF INNOVATIVE TECHNOLOGY,360012000000,NEW YORK CITY GEOGRAPHIC DISTRICT #19,3600120,KINGS COUNTY,36047,999 JAMAICA AVE,BROOKLYN,NY,11208,,7188272469,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.690754,-73.870177,331900000000,331900000000
"ACADEMY OF PUBLIC RELATIONS, NY",ACADEMY OF PUBLIC RELATIONS,360008000000,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,3600084,BRONX COUNTY,36005,778 FOREST AVE,BRONX,NY,10456,,7186658866,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.81888,-73.905862,320700000000,320700000000
"ACADEMY OF URBAN PLANNING, NY",ACADEMY OF URBAN PLANNING,360010000000,NEW YORK CITY GEOGRAPHIC DISTRICT #32,3600097,KINGS COUNTY,36047,400 IRVING AVE,BROOKLYN,NY,11237,,7183817100,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.696957,-73.910865,333200000000,333200000000
"ACADEMY ST, NJ",ACADEMY ST,340393000000,DOVER TOWN,3403930,MORRIS COUNTY,34027,14 ACADEMY ST,DOVER,NJ,7801,4906,9739892030,1-Regular school,1-Local school district,1-Currently operational,2-No,40.878136,-74.562602,50,271110
"ACADEMY STREET ELEMENTARY SCHOOL, NY",ACADEMY STREET ELEMENTARY SCHOOL,360411000000,BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,3604110,SUFFOLK COUNTY,36103,150 ACADEMY ST,BAYPORT,NY,11705,1798,6314727850,1-Regular school,1-Local school district,1-Currently operational,2-No,40.741426,-73.059396,580505000000,580505000000
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCH, NY",ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCH,360012000000,NEW YORK CITY GEOGRAPHIC DISTRICT #27,3600123,QUEENS COUNTY,36081,821 BAY 25TH ST,FAR ROCKAWAY,NY,11691,,7184713571,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.6015,-73.76268,342700000000,342700000000
"ACADIA MIDDLE SCHOOL, NY",ACADIA MIDDLE SCHOOL,362667000000,SHENENDEHOWA CENTRAL SCHOOL DISTRICT,3626670,SARATOGA COUNTY,36091,970ROUTE 146,CLIFTON PARK,NY,12065,3685,5188810450,1-Regular school,1-Local school district,1-Currently operational,2-No,42.868641,-73.808404,520302000000,520302000000
"ACCION ACADEMY, NY",ACCION ACADEMY,360009000000,NEW YORK CITY GEOGRAPHIC DISTRICT #12,3600090,BRONX COUNTY,36005,1825 PROSPECT AVE,BRONX,NY,10457,,7182940514,1-Regular school,2-Local school district component of supervisory union,1-Currently operational,2-No,40.842072,-73.891218,321200000000,321200000000
"ACCOMPSETT ELEMENTARY SCHOOL, NY",ACCOMPSETT ELEMENTARY SCHOOL,362706000000,SMITHTOWN CENTRAL SCHOOL DISTRICT,3627060,SUFFOLK COUNTY,36103,1 LINCOLN ST,SMITHTOWN,NY,11787,1695,6313824155,1-Regular school,1-Local school district,1-Currently operational,2-No,40.86041,-73.236316,580801000000,580801000000
